title,summary,n_enrolled,course_type,institution,instructors,Level,subject,language,subtitles,course_effort,course_length,price,course_description,course_syllabus,course_url
Introducción a los encofrados y las cimbras en obra civil y edificación,Aprende sobre la construcción de obras civiles y de edificación con encofrados y cimbras.,"16,029",Self-paced on your time,Universitat Politècnica de Valencia,Víctor Yepes Piqueras,Introductory,Engineering,Español,Español,2–3 hours per week,4 Weeks,FREE-Add a Verified Certificate for $50 USD,"Este es un curso en línea básico de construcción de obras civiles y de edificación con encofrados y cimbras. Es un curso de construcción e ingeniería que no requiere conocimientos especiales y está diseñado para que sea útil a un amplio abanico de profesionales con o sin experiencia, estudiantes de cualquier rama de la construcción, ya sea universitaria o de formación profesional. El aprendizaje se ha escalonado de modo que el estudiante puede profundizar en aquellos aspectos relacionados a los encofrados y las cimbras que más les sea de interés mediante documentación complementaria y enlaces de internet a vídeos, catálogos, etc.",,https://www.edx.org/course/introduccion-a-los-encofrados-y-las-cimbras-en-obr
AI Chatbots without Programming,"Chatbots are increasingly in demand among global businesses. This course will teach you how to build, analyze, deploy and monetize chatbots - with the help of IBM Watson and the power of AI.","35,440",Self-paced on your time,IBM,Antonio Cangiano,Introductory,Computer Science,English,English,2–4 hours per week,2 Weeks,FREE-Add a Verified Certificate for $99 USD,"Special Offer : This course includes a great offer from IBM: One year of Watson Assistant services to power 10 chatbots at no charge. The perfect way to kickstart your chatbot building business!Chatbots are one of the most exciting and in-demand topics in tech. Businesses around the world are increasingly showing an interest in their potential for cost-saving and improving customer service availability.In this course, you'll learn how to build chatbots powered by Watson and how to approach making money by selling chatbots to clients. We'll coverways to sell chatbots to prospective clients online and offline. We'll explore how to plan and build chatbots using a visual tool provided by IBM. We'll offer methods for testing, analyzing, and improving your chatbots. And we'll teach you how to deploy your chatbots to websites via a handy WordPress plugin.Leveraging the AI power of Watson Assistant, you will be able toaccomplish all this without the need to write any code!",Module0 - Introduction to ChatbotsModule 1 - Introduction to ChatbotsModule 2 - Introduction to Watson Assistant (formerly Conversation)Module 3 -Building Our Chatbot: Intents and EntitiesModule 4 -Building Our Chatbot DialogModule 5 - Deploying Our Chatbot on WordPress,https://www.edx.org/course/AI-chatbots-without-programming
Introducción a la Ciencia de Datos y el Big Data,Obtén un panorama general de lo que es Data Science o Ciencia de Datos y cómo aplicarla en las organizaciones. Aprende a tomar decisiones basadas en los datos.,"16,268",Self-paced on your time,Tecnológico de Monterrey,Jesús Aguilar,Intermediate,Data Analysis & Statistics,Español,Español,3–5 hours per week,4 Weeks,FREE-Add a Verified Certificate for $49 USD,"El futuro pertenece a la ciencia de datos y a quienes la entiendan. Al igual que el petróleo y el gas impulsaron las economías de los siglos XX y XXI, los datos impulsan cada vez mas la innovación y la economía global a medida que avanzamos hacia una nueva era denominada la revolución digital.Las empresas que están cambiando a una mentalidad de datos van a obtener primero una enorme ventaja competitiva.Esto se ha convertido en una verdad universal: las empresas modernas se están inundando de big data. El año pasado, McKinsey estimó que las iniciativas de Big Data en el sistema de salud de los Estados Unidos, ""podrían representar de $300 mil millones a $450 mil millones en gastos de salud reducidos o del 12 al 17 por ciento de la línea de base de $2.6 billones en costos de salud de los Estados Unidos"". Por otro lado, sin embargo se estima que los datos erróneos le cuestan a los Estados Unidos apróximadamente $3.1 trillones de dólares al año.Aunque la ciencia de datos representará ventajas puntuales para las empresas como mitigar el riesgo y/o el fraude; entregar al cliente productos relevantes y tener experiencias personalizadas al mismo, es sin embargo, importante notar que la ciencia de datos podrá agregar un valor a cuaquier negocio, siempre y cuando pueda usar bien sus datos. El análisis de la información y la inteligencia de negocios ayudan a las organizaciones a tomar decisiones inteligentes basadas en el análisis de datos.- Introducir al alumno en los conceptos claves sobre la Ciencia de Datos y Big Data.- Comprender la forma en la que se gesta un proyecto de Ciencia de Datos.- Identificar los proyectos de esta disciplina que se pueden realizar en las diferentes áreas funcionales de una organización a través de casos de éxito en las diferentes industrias.",,https://www.edx.org/course/introduccion-a-la-ciencia-de-datos-y-el-big-data
Just Money: Banking as if Society Mattered,Learn how banks can use capital as a tool to promote social and environmental wellbeing.,"25,553",Self-paced on your time,Massachusetts Institute of Technology,J. Phillip Thompson-Lily Steponaitis-Katrin Kaeufer-Alice Maggio,Introductory,Business & Management,English,English,3–4 hours per week,16 Weeks,FREE-Add a Verified Certificate for $49 USD,"Do you know what your bank does with your money? What is the role of a bank in producing societal well-being?This course looks into banks that operate differently, namely, “just banks"" that use capital and finance as a tool to address social and ecological challenges. This course is for anyone who wants to understand the unique role banks play as intermediaries in our economy and how they can leverage that position to produce positive social, environmental, and economic change.The instructors of this course have worked for over 15 years with just banks from around the world, as well as in the fields of community development, economic democracy, and social change.No previous knowledge of finance or banking is needed to take this course.",,https://www.edx.org/course/just-money-banking-as-if-society-mattered
Introducción a R,"R es uno de los lenguajes más utilizados en el análisis de datos, ciencia de datos e inteligencia artificial. Conocerlo y dominarlo es un factor clave para lograr estrategias competitivas basadas en los datos. Este curso te brindará las bases de la programación en R con un enfoque práctico.","6,431",Self-paced on your time,Universidades Anáhuac,César Iván Cobos May-Víctor Cruz Morales,Introductory,Data Analysis & Statistics,Español,Español,5–8 hours per week,4 Weeks,FREE-Add a Verified Certificate for $49 USD,"La ciencia de datos es un área que hoy ofrece herramientas analíticas muy poderosas a las organizaciones; aquellas que han incorporado estas prácticas rápidamente han podido obtener ventajas competitivas y tomar mejores decisiones con la información que obtienen. Ante las características actuales de sociedades generadoras de millones de datos, dominar adecuadamente el análisis de datos es una necesidad para cualquier organización.Este curso brinda una introducción al lenguaje R para el análisis de datos con un enfoque práctico desde el inicio. Los ejemplos y actividades son fácilmente relacionables a las tareas que un analista realiza de forma regular, tales como manipular datos y presentar gráficas o resúmenes.Al finalizar este curso podrás aplicar en tu organización o de manera personal las herramientas brindadas en él y al mismo tiempo, estarás preparado para cursos más avanzados de R.","Módulo 1: IntroducciónTema 1: Breve descripción de RTema 2: Descarga e instalación de RTema 3: Descarga e instalación de RStudioTema 4: Introducción a RStudio y RStudio CloudMódulo 2: Creación de marcos de datosTema 5: Datos numéricos y caracteresTema 6: Función c()Tema 7: Indexación de vectoresTema 8: Funciones cbind() y rbind()Tema 9: Indexación de matricesTema 10: Funciones data.frame() y write.csv()Tema 11: Cómo acceder a un subespacio de los datosTema 12: Funciones load() y read.csv()Tema 13: Función summary()Módulo 3: Visualización de los datosTema 14: Instalación y carga ggplot2Tema 15: Capas de un gráfico (datos, estética y objetos geométricos)Tema 16: Datos y estética (ggplot() y aes())Tema 17: Objetos geométricos (geom_point() y geom_line())Tema 18: Funciones geom_bar() y coord_polar()Módulo 4: Programación en RTopic 20: Comandos if y elseTema 21: Comandos for y whileTema 22: Comandos break y nextTema 23: Desarrollar funciones en RTema 24: Aplicar funciones en R",https://www.edx.org/course/introduccion-a-r
Computing in Python IV: Objects & Algorithms,"Learn about recursion, search and sort algorithms, and object-oriented programming in Python.","28,112",Self-paced on your time,The Georgia Institute of Technology,David Joyner,Introductory,Computer Science,English,English,9–10 hours per week,5 Weeks,FREE-Add a Verified Certificate for $99 USD,"Complete your introductory knowledge of computer science with this final course on objects and algorithms. Now that you've learned about complex control structures and data structures, learn to develop programs that more intuitively leverage your natural understanding of problems through object-oriented programming. Then, learn to analyze the complexity and efficiency of these programs through algorithms. In addition, certify your broader knowledge of Introduction to Computing with a comprehensive exam. By the end of this course, you'll be able to write programs in Python that leverage your more natural understanding of data structures by creating objects to represent the structures you work with most often. For example, if you were creating a class roster application, you'll learn how to create an object representing a student's name, ID number, and attendance record. Then, you'll be able to create applications that leverage sorting and searching algorithms to sort that roster alphabetically, search for a particular student, and evaluate the efficiency of both those operations. Structurally, the course is comprised of several parts. Instruction is delivered via a series of short (2-3 minute) videos. In between those videos, you'll complete both multiple choice questions and coding problems to demonstrate your knowledge of the material that was just covered. These exercises count for 20% of your grade. Then, after each major chapter, you'll complete a problem set of collected, more challenging problems. These count for 40% of your grade. Finally, you'll complete a final course exam, which counts for the remaining 40% of your grade.","Chapter 1. Objects. Working with instances of complex data types or defining your own, like creating a class to represent a video game character, a class syllabus, or an item for sale. Chapter 2. Algorithms. Creating complex code for searching in large lists or sorting lists of data, and analyzing code for its complexity. Chapter 3. Course Recap. A comprehensive review of the Xseries as a whole, leading into the final exam.",https://www.edx.org/course/computing-in-python-iv-objects-algorithms
Adobe Illustrator: aprende a crear presentaciones de impacto,"Aprenderás a usar las herramientas perfectas para hacer presentaciones de impacto, con excelente diagramación y recursos que impactarán visualmente y en contenido a tus interlocutores entregando una presentación creativa.","18,613",Self-paced on your time,Pontificia Universidad Javeriana,Juan Carlos Lemus Romero,Introductory,Design,Español,Español,9–10 hours per week,5 Weeks,FREE-Add a Verified Certificate for $15 USD,"Este curso introductorio de Adobe Illustratorte entregaráconceptos de diseño y de presentación en general que te permitirán tener más argumentos gráficos para tus presentaciones y que ofrezcan un impacto visual.
A partir de la suite de Adobe y en particular con Illustrator, conocerás recursos para ser más claro en el lenguaje y mensaje a entregar. Este curso de diseño te introducirá al programa de diseño vectorial Adobe Illustrator, conociendo el entorno y los elementos que hay en este programa. Se explicará el uso de las distintas herramientas que posee la aplicación, así como la manera de trabajar con las paletas de diseño. En este MOOC se crearán trazados sencillos en el programa de diseño Adobe Illustrator: trazados de forma libre, líneas y formas básicas (rectángulos, elipses, polígonos, estrellas, …). También, se describirá la forma de seleccionar y modificar de una manera sencilla los objetos que existen en los documentos (moverlos, girarlos o cambiar su tamaño), así como varias herramientas de ayuda al dibujo (reglas, cuadrícula y guías). Este curso en línea te ayudará a crear presentaciones efectivas con las cuales entregues el mensaje adecuado e impactes a tu público objetivo. Este curso es introductorio, no necesitas habilidades especiales ni conocimientos previos, de una manera muy práctica vas a poder aplicar los conocimientos del curso a tus actividades.","Semana 1. Entorno de trabajo y herramientas Básicas.Se introducirá al programa de diseño vectorial Adobe Illustrator, conociendo su entorno y elementos que hay en él. Se explicará el uso de las distintas herramientas que posee la aplicación, así como la manera de trabajar con las paletas. Semana 2. Herramientas de dibujo y edición.Se describirá la utilización de la herramientas Pluma para la creación de trazados, así como la modificación y ajuste de estos trazados modificando los distintos puntos que los componen, las líneas de dirección de los mismos o a través de otras herramientas y opciones (redondear, borrar, perspectiva, simplificar y dividir o partir trazados). Semana 3. Herramientas de color, transformación de objetos y organización.Se introducirán conceptos de modelo y modo de color, analizandolas distintas formas que existen para agregar color a los objetos incluyendo degradados y patrones, además de creación de paletas de color. Se describirán las distintas herramientas y comandos básicos de transformación, copia y desplazamiento de objetos, cambio de tamaño, giro o rotación, distorsión y reflejo. Finalmente, se describirá la forma de alinear o distribuir varios objetos de un documento. Se enseñará la forma de combinar objetos para obtener objetos a partir de otros ya existentes, cómo se pueden agrupar objetos y para qué se utiliza esta característica y el trabajo con las capas. Semana 4. Importación de imágenes y conceptos de diagramación.Aprenderán las distintas maneras en que podemos insertar imágenes de este tipo, qué opciones permite Illustrator en el trabajo con estas imágenes, creación de imágenes vectoriales a partir de ellas y aplicación de filtros y efectos sobre las mismas. Haremos énfasis en retoque de imagen digital básico y manejo de bitmaps en Adobe photoshop.",https://www.edx.org/course/adobe-illustrator-aprende-a-crear-presentaciones-d
Teaching Critical Thinking through Art with the National Gallery of Art,"Learn how to integrate works of art using Artful Thinking routines, effective strategies from Project Zero at Harvard University, in this interactive online course for teachers of all levels and subjects.","18,595",Self-paced on your time,The Smithsonian Institution,Julie Carmean,Introductory,Education & Teacher Training,English,"English, Español, Français, 中文",3–4 hours per week,16 Weeks,FREE-Add a Verified Certificate for $25 USD,"Based on the National Gallery of Art’s popular Art Around the Corner professional development program for teachers in Washington, D.C., this five-unit online course provides everything you need to begin creating a culture of critical thinking and collaboration for any classroom, subject, or level. You do not need an art background or museum access to successfully integrate the course materials into your teaching. Your willingness to experiment with new teaching practices is all that is required. The strategies presented in this course are adapted from Artful Thinking pedagogy, developed by Project Zero at the Harvard Graduate School of Education. You will explore three thinking dispositions, using eight thinking routines that are easy to understand and implement with STEAM curricular content. Throughout, you will discover the power of art to develop your students’ inclination, motivation, and ability to think deeply. When you enroll, all the resources you need for your classroom to strengthen critical thinking by using art will be immediately available. We recommend spending a few hours learning and practicing each section before progressing to the next. The online course environment features over 20 videos and interactive tools: Participating with a global network of educators who, just like you, want to hone their abilities to teach critical thinking skills and explore arts integration will be an added bonus to your course experience.",The course contains an introductory unit and four content units listed below. It will take approximately 14-20 hours to complete this self-paced course. Those who audit have access for 16 weeks. Those who register for the verified certificate have access of a full year. Unit 0: Welcome (2 hours)Unit 1: Diving into Thinking Routines (3-4 hours)Unit 2: Observing and Describing (3-4 hours)Unit 3: Reasoning with Evidence (3-4 hours)Unit 4: Questioning and Investigating (3-4 hours),https://www.edx.org/course/teaching-critical-thinking-through-art-with-the-na
Word intermedio: herramientas de formato y productividad,"Este curso en línea te permitira aumentar tu rendimiento y productividad usando Microsoft Word, una de las la herramienta de procesamiento de texto mas usadas.","10,265",Self-paced on your time,Universitat Politècnica de Valencia,Andrés Lloret Salom,Intermediate,Computer Science,Español,Español,4–5 hours per week,6 Weeks,FREE-Add a Verified Certificate for $50 USD,"Este curso online da un repaso por los distintos menús de la herramienta Word, revisando a fondo sus distintas opciones e incidiendo en las funcionalidades de la herramienta que no son intuitivas, de forma que el usuario pueda conseguir dar formatos complejos a sus documentos y aumentar su rendimiento y productividad al trabajar con ellos.La herramienta de Microsoft, es una de las mas usadas a nivel mundial a nivel organizacional para la productividad, es una herramienta fundamental para el procesamiento de textos.",,https://www.edx.org/course/word-intermedio-herramientas-de-formato-y-producti
Introducción a las finanzas: Principios de valoración,Aprende de forma rápida y sencilla los principios básicos de valor del dinero en el tiempo y cómo usarlos para la toma de decisiones financieras y evaluación de proyectos de inversión.,"17,344",Self-paced on your time,Universidad del Rosario,Rafael Serrano-Laura Natalia López,Intermediate,Economics & Finance,Español,Español,6–10 hours per week,4 Weeks,FREE-Add a Verified Certificate for $49 USD,"Los proyectos financieros e inversiones realizadas en el ámbito empresarial deben ser evaluados con un alto nivel de precisión. Esto es crucial para garantizar ganancias que contribuyen al valor de una firma. Este curso en línea te enseñará conceptos claves y herramientas de valor del dinero en el tiempo que te ayudarán a entender las diferentes tasas de interés y a evaluar, comparar y elegir proyectos de inversión y financiamiento en los mercados financieros. En este curso de introducción a las finanzas aprenderás a usar funciones básicas de Microsoft Excel para valorar flujos de efectivo en una línea de tiempo y solucionar problemas básicos de matemáticas financieras y resolver ecuaciones de valor equivalente.","Sección 1: Valor del dinero en el tiempoIntroducción a conceptos básicos de interés simple, compuesto. Línea de tiempo y diagramas de flujo. Cálculos de valor futuro, valor presente, factor de acumulación y de descuento para uno y varios periodos. Cálculos de tasas de interés y número de periodos. Funciones de Excel VF, VA, NPER y TASA. Sección 2: Trabajando con tasasTasas efectivas, periódicas y nominales. Tasas vencidas y anticipadas. Conversión y equivalencia de tasas. Función TASA NOMINAL Sección 3: ValoracionesCálculos de valor presente y futuro con tasas variables, valoración descontada de flujos de efectivo, ecuaciones de valor equivalente y cálculo de fechas desconocidas. Cálculo de valor futuro y valor presente en series de pagos constantes. Sección 4: Métodos y criteriosMétodos básicos de evaluación de proyectos: Valor Presente Neto y Tasa interna de retorno (TIR). Cálculo de VPN y TIR usando funciones de Excel. Evaluación y comparación de proyectos y flujos de efectivo usando VPN y TIR.",https://www.edx.org/course/introduccion-a-las-finanzas-principios-de-valoraci
Aprende a diseñar jardines verticales y cuadros vivos,"Estos son una excelente solución para llenar de vida espacios vacíos de un ambiente. Los jardines verticales son beneficiosos para la armonía del hogar y la salud, ya que, generan oxígeno y a su vez absorben dióxido de carbono.","6,341",Self-paced on your time,Universidad Nacional de Córdoba,Equipo Campus Virtual,Introductory,Biology & Life Sciences,Español,Español,1–2 hours per week,4 Weeks,FREE-Add a Verified Certificate for $29 USD,"Te damos una cálida bienvenida al Curso de Jardinería Vertical y Cuadros Vivos, donde aprenderemos a realizar 3 tipos de cuadros. Te vamos a introducir en este nuevo mundo de la jardinería vertical. Los jardines verticales son muros vegetales que pueden ser usados tanto en interior como en exterior, sin necesidad de suelo o sustrato horizontal. Los cuadros vivos son la mínima expresión del jardín vertical. Aportan los mismos beneficios de forma compacta y de fácil instalación.En los jardines la protagonista es la vegetación. La vegetación es el conjunto de plantas, que en éste caso van a componer éste jardín.Los vamos a estar acompañando a lo largo de éste recorrido, que les permita conectarse nuevamente con la naturaleza, revalorizar la flora en la que ustedes viven, y de alguna manera, volver hacer un uso más eficiente de los recursos naturales.En este curso queremos que te inicies en el amplio mundo los CUADROS VIVOS son una excelente solución para llenar de vida espacios vacíos de un ambiente. Y lo mejor de todo es que son beneficiosos para la armonía del hogar y la salud, ya que, generan oxígeno y a su vez absorben dióxido de carbono.También retienen los gases contaminantes que vienen del exterior por lo cual son ideales para departamentos y casas con poco espacio.¿Te animas a indagar en este nuevo arte?","Módulo 1: ""Introducción a la jardinería vertical""Explicación básica de plantas posibles a utilizar en los distintos cuadros a realizar en el curso. Detalle de riego. Generalidades.Módulo 2: “Cuadro vivo decorativo interior”¿Cómo hacer un cuadro vivo para interior? ¿Qué plantas conviene? Riego. Cuidados. Módulo 3 “Cuadro vivo exterior”¿Cómo hacer un cuadro vivo para exterior?Plantas. Cuidados. Dónde y cómo conviene colocarlos. Módulo 4: “Huerta de aromáticas vertical”¿Cómo hacer un cuadro vivo con aromáticas fáciles de conseguir? ¿Qué plantas comestibles se puede tener de acuerdo a cada estación?Utilización de pallets.",https://www.edx.org/course/aprende-a-disenar-jardines-verticales-y-cuadros-vivos
"Anatomy: Cardiovascular, Urinary, and Respiratory Systems","Learn the multifaceted structures and functions of the cardiovascular, urinary, and respiratory systems.","36,917",Self-paced on your time,The University of Michigan,Glenn M. Fox,Introductory,Biology & Life Sciences,English,English,2–3 hours per week,4 Weeks,FREE-Add a Verified Certificate for $49 USD,"In this anatomy course, part of the Anatomy XSeries, you will explore the interactive relationships of the cardiovascular, respiratory and urinary systems, and the roles they play in your body.This course is a primer for the cardiovascular, respiratory, and urinary systems in which students learn the pertinent details of the structures and functions through a combination of lectures, videos, labeling activities and quizzes.",CVS I: Blood & LymphaticsCVS II: Heart & VasculatureUrinary SystemRespiratory System,https://www.edx.org/course/anatomy-cardiovascular-urinary-and-respiratory-sys
Software Engineering: Introduction,"Learn how to apply engineering principles, such as Agile, to build a full-stack software system.","35,524",Self-paced on your time,University of British Columbia,Reid Holmes,Advanced,Computer Science,English,English,8–10 hours per week,6 Weeks,FREE-Add a Verified Certificate for $125 USD,"This course, part of the Software Development MicroMasters Program, introduces how teams design, build, and test multi-version software systems.You will learn software engineering principles that are applicable to the breadth of large-scale software systems. The course explores topics such as agile development, REST and Async programming, software specification, design, refactoring, information security, and more.By the end of this course, learners will work in teams, applying an agile software development process to specify, design, and test multiple versions of complex software systems.Learners who enroll in the Verified track will receive staff grading and increased interaction with the instructor and staff.",,https://www.edx.org/course/software-engineering-introduction
Structure of Materials,Discover the structure of the materials that make up our modern world and learn how this underlying structure influences the properties and performance of these materials.,"13,042",Self-paced on your time,Massachusetts Institute of Technology,Silvija Gradečak-Jessica Sandland,Intermediate,Engineering,English,English,6–8 hours per week,16 Weeks,FREE-Add a Verified Certificate for $150 USD,"Structure determines so much about a material: its properties, its potential applications, and its performance within those applications. This course from MIT’s Department of Materials Science and Engineering explores the structure of a wide variety of materials with current-day engineering applications. The course begins with an introduction to amorphous materials. We explore glasses and polymers, learn about the factors that influence their structure, and learn how materials scientists measure and describe the structure of these materials. Then we begin a discussion of the crystalline state, exploring what it means for a material to be crystalline, how we describe directions in a crystal, and how we can determine the structure of crystal through x-ray diffraction. We explore the underlying crystalline structures that underpin so many of the materials that surround us. Finally, we look at how tensors can be used to represent the properties of three-dimensional materials, and we consider how symmetry places constraints on the properties of materials. We move on to an exploration of quasi-, plastic, and liquid crystals. Then, we learn about the point defects that are present in all crystals, and we will learn how the presence of these defects lead to diffusion in materials. Next, we will explore dislocations in materials. We will introduce the descriptors that we use to describe dislocations, we will learn about dislocation motion, and will consider how dislocations dramatically affect the strength of materials. Finally, we will explore how defects can be used to strengthen materials, and we will learn about the properties of higher-order defects such as stacking faults and grain boundaries.","Part 1: An Introduction to Materials Science Part 2: Descriptors Part 3: Glasses Part 4: Polymers Part 5: An Introduction to the Crystalline State Part 6: Real and Reciprocal Space Part 7: X-Ray Diffraction Part 8: Symmetry in 2D Crystals Part 9: Point groups in 2D The 10 2D point groups Part 10: Plane groups in 2D Part 11: Symmetry in 3D Crystals Part 12: 3D Space Point groups Part 13: 3D Space Groups Part 14: An Introduction to Tensors Part 15: Quasi, Plastic, and Liquid Crystals Part 16: Introduction to Point Defects Part 17: Ionic Point Defects & Diffusion Part 18: Dislocations and Deformation Part 19: Strengthening & Surface Energy Part 20: 2-Dimensional Defects ",https://www.edx.org/course/structure-of-materials
Fundamentos de fotografía documental,"El curso proporcionará herramientas teóricas y técnicas para emplear la fotografía como parte de una investigación en las ciencias sociales, artes y las humanidades. Además de desarrollarcapacidades interpretativas y creativas de la fotografía.","13,036",Self-paced on your time,Universidad del Rosario,Luis Alberto Cardozo Acosta,Introductory,Art & Culture,Español,Español,4–6 hours per week,6 Weeks,FREE-Add a Verified Certificate for $49 USD,"El curso proporcionará, desde cero, herramientas teóricas y técnicas para emplear la fotografía como documento que forma parte de la investigación en las ciencias sociales, artes y las humanidades. No obstante, el campo es mucho más amplio en cuanto desarrollan capacidades interpretativas y creativas de la fotografía. Es así como se considera que el curso une un desenvolvimiento en torno la semiótica, la técnica, la teoría y el uso de la fotografía con fines documentales. Al terminar el curso, los estudiantes aprenderán el concepto de fotografía documental, conocerán la formar de sacar provecho a la cámara y lograrán dar sentido a la fotografía como documento reflejado en la creación de un proyecto de fotografía documental, a través de actividades prácticas y videos con expertos en el campo, con el propósito de enriquecer su forma de interpretar el mundo a través de la fotografía.",Sección 1 Introducción a la fotografía documental.Sección 2 Conociendo el instrumento de trabajoSección 3 Acción política de la imagenSección 4 El lenguaje fotográfico,https://www.edx.org/course/fundamentos-de-fotografia-documental
AP® Italian Language and Culture (2020-2021),Improve your language skills and expand your knowledge of contemporary Italian culture!,"39,398",Self-paced on your time,Wellesley College,Daniela Bartalesi-Graf,Advanced,Humanities,Italiano,Italiano,3–8 hours per week,12 Weeks,FREE-Add a Verified Certificate for $49 USD,"AP® Italian Language and Culture provides learners of Italian at the intermediate/advanced level with an interactive learning experience that combines the highest academic standards with the goal of language proficiency.This course suits the needs of students who have a variety of learning goals:1. You want to improve your language skills and find out more about contemporary Italian society, or perhaps you are a high school student who wants to prepare for the AP exam independently at your own pace. Sign up now and cover as little or as much as you need to get ready! You will have access to all the material from the moment you register. You may audit the course for free or join the Verified Track and work towards a Verified Certificate of Achievement ($49) issued by edX ).2. You also want to be part of an online live class with other students and an instructor. Wellesley College offers, in conjunction with this edX course, online live instruction classes (in Fall 2020 and Spring 2021) so that you can practice the language regularly. Our online live instruction classes follow the same curriculum as this edX course. If you choose this option, you will receive a Certificate from Wellesley College with a letter grade that you may present to your high school for registration on your transcript, or to any educational institution and/or employers as an important recognition of achievement and language proficiency. You will also experience how languages are taught at Wellesley College! Registration for live online classes.",,https://www.edx.org/course/ap-italian-language-and-culture-2020-2021
Computer Hardware and Operating Systems,This is a self-paced course from NYU that provides an Introduction to Computer Hardware and Operating Systems,"9,715",Self-paced on your time,New York University,Daniel Katz-Braunschweig-Aspen Olmsted,Introductory,Computer Science,English,English,3–5 hours per week,6 Weeks,FREE-Add a Verified Certificate for $150 USD,This is a self-paced course that provides an Introduction to Computer Hardware and Operating SystemsThis course will cover topics including:By the end of this course students should be able to: ,Course Outline:,https://www.edx.org/course/computer-hardware-and-operating-systems
Marketing Management,"Learn key marketing strategies and tactics to help your company develop products that match customers' needs, create awareness and demand for those products, and drive sales.","43,415",Instructor-led on a course schedule,"The University of Maryland, College Park-University System of Maryland",Judy Frels-David Godes-P.K. Kannan-Mary Beth Furst,Advanced,Business & Management,English,English,8–10 hours per week,7 Weeks,FREE-Add a Verified Certificate for $214 USD,"Mark Cuban, owner of the Dallas Mavericks, puts it bluntly: “No sales. No company.” Every organization needs effective marketing to match its products, services and experiences to customers, and maintain and grow its revenue. In this course you will learn the keys to successful marketing, from using traditional and digital media channels to build brand awareness, to using consumer and behavioral research in order to better match your product to your customers’ wants and needs. In this course, you'll learn to: By the end of this class, you will understand how to assess the competitive playing field, understand your competitor’s brand position, and map your own organization’s position, strengths, and weaknesses, to create or capture competitive advantages.",,https://www.edx.org/course/marketing-management-2
You Can Innovate: User  Innovation & Entrepreneurship,"Identify a problem, develop a solution, and bootstrap your entrepreneurial venture.","18,974",Self-paced on your time,Massachusetts Institute of Technology,Eric von Hippel-Erdin Beshimov,Introductory,Business & Management,English,English,2–4 hours per week,10 Weeks,FREE-Add a Verified Certificate for $49 USD,"We'll let you in on a secret. Innovation happens everywhere. More often than not, it is about ordinary people solving real problems. Imagine, this could be you. This course will teach you to look at the world through the lens of problem discovery and problem solving. You will explore problems that you see in your life and in the world and evaluate their potential for entrepreneurial innovation. You will iterate toward solutions that are just right. As you do that, you will become a user innovator.Examples of user innovation and its entrepreneurial potential are infinite. A surfer created the GoPro to take ""selfies"" while surfing. A student came up with Dropbox after losing the flash drive. Two entrepreneurs created a tool for themselves to track software bugs, giving rise to Atlassian.Taught by Eric von Hippel, the founding scholar of user innovation, and Erdin Beshimov, the founder of MIT Bootcamps, this course will guide you through a step-by-step process for ideating a user innovation and shaping its entrepreneurial possibilities. Importantly, through immersive case studies, this course will introduce you to effective strategies of entrepreneurial bootstrapping, so that you can succeed even when you do not have many resources. We invite to the course, anyone with dreams of making a positive impact on society. The course should be timely and specifically beneficial for:You can innovate!You Can Innovate is a course from MIT Bootcamps and as such prepares you for participation in the program. The Bootcamp is a highly selective, intensive, global MIT training program for innovators. You will learn from MIT faculty and you will be intensively coached by experienced MIT-trained entrepreneurs. In the process, you will be challenged to generate an impactful entrepreneurial innovation in one week. Learn about and apply to one of the upcoming bootcamps at https://bootcamp.mit.edu.",,https://www.edx.org/course/you-can-innovate-user-innovation-entrepreneurship
Analytics in Python,Learn the fundamental of programming in Python and develop the ability to analyze data and make data-driven decisions.,"82,210",Instructor-led on a course schedule,Columbia University,,Intermediate,Business & Management,English,,8–10 hours per week,12 Weeks,FREE-Add a Verified Certificate for $249 USD,"Data is the lifeblood of an organization. Competency in programming is an essential skill for successfully extracting information and knowledge from data.The goal of this course is to introduce learners to the basics of programming in Python and to give a working knowledge of how to use programs to deal with data.In this course, we will first cover the basics of programming and then focus on using Python on the entire data management process from data acquisition to analysis of data big data and small data.This is an intensive hands-on course that will equip and reward learners with proficiency in data management skills.",,https://www.edx.org/course/analytics-in-python
Bases Matemáticas: Álgebra,"En este curso se tratan los sistemas de ecuaciones, las matrices y cómo usarlas para resolverlos.","35,811",Self-paced on your time,Universitat Politècnica de Valencia,Alicia Herrero Debón,Introductory,Math,Español,Español,3–4 hours per week,4 Weeks,FREE-Add a Verified Certificate for $50 USD,En este curso se recordará lo que es una ecuación con una única incógnita y cómo solucionarla. A partir de ahí se tratarán:En este curso:,,https://www.edx.org/course/bases-matematicas-algebra
